ts,family,market,side,qty,px,purpose,est_day,rested_h,fair,band_lo,band_hi,conf,touch_bid,touch_ask,conc,pos_after,why,oid
1788937584.4,cfb,aachc-cfb-wins-2026-11-28-cah-8pt5wins,BUY,0.3,0.12,backfill,,1,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCP6EWGCPR45
1788937590.4,nfl,aqc-nfl-afc-2027-01-24-champq-den,BUY,0.2,0.18,backfill,,4.51,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCK97171YR42
1788938602.0,nfl,tec-nfl-droy-2027-02-11-w-jermcc,SELL,0.01,0.03,sell,0.0011,4.99,,1,4,0.431,0.02,0.03,-0.01,-0.01,selling filled stock — it earns while it waits,CCK31GKA2R46
1788939291.2,nfl,aqc-nfl-afc-2027-01-24-champq-buf,SELL,0.5,0.28,manual,0.127,0.73,,26,33,0,0.27,0.28,0.01,-0.5,the owner's own order — the engine leaves it alone,CCPTFXZG6R40
1788939468.8,cfb,aachc-cfb-wins-2026-11-28-sc-7pt5wins,BUY,0.07,0.47,backfill,,4.27,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCKXZYAJ4R3X
1788939531.2,cfb,aachc-cfb-wins-2026-11-28-boise-9pt5wins,BUY,2,0.27,earn,1.2362,1.53,,28,36,0.245,0.22,0.28,-0.05,2,at the touch — a fill here is 1 ticks inside value (evidence band only; confiden,CCP7YPX0RR3X
1788939855.6,nfl,fptc-nfl-qbfpou-2027-01-10-gensmi,SELL,0.29,0.41,sell,0,0,,29,37,0.438,0.41,0.42,-0.08,0.71,taker dump — sold into the bid (the carved exception),CCQGNWHJ6R3V
1788940215.8,nfl,aqc-nfl-afc-2027-01-24-champq-lac,SELL,1,0.23,earn,0.2406,1.62,,20,26,0,0.22,0.23,0,-1,joins the touch — the book has been quiet,CCP9GDSMER42
1788940671.8,cfb,aachc-cfb-wins-2026-11-28-mia-11pt5wins,SELL,0.01,0.17,earn,7.4098,0.03,,9,18,0.396,0.1,0.17,-0.04,-0.02,11 ticks in front of the touch — we would hold 99% of the ask side,CCQPGK8AMR3W
1788953269.7,cfb,aachc-cfb-wins-2026-11-28-col-4pt5wins,BUY,0.01,0.6,sell,0,0.03,,61,71,0.197,0.6,0.99,-0.05,0,buying back the short at or under what it sold for — the bid earns while it wait,CCTSZ890MSX4
1788953269.7,nfl,tec-nfl-coty-2027-02-11-w-mikmcc,BUY,0.01,0.56,earn,0.4261,0.05,,10,55,0,0.56,0.57,0.23,0.01,joins the touch — the book has been quiet,CCTR8ZS48SX0
1788953286.3,cfb,aachc-cfb-wins-2026-11-28-wisc-5pt5wins,SELL,2,0.33,hand,,0,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,CCTSYEFYMSJZ
1788953328.9,nfl,tec-nfl-droy-2027-02-11-w-jermcc,SELL,0.01,0.06,backfill,,0.05,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCTQ2526PSJZ
1788953700.7,cfb,aachc-cfb-wins-2026-11-28-wisc-5pt5wins,SELL,2,0.33,hand,,0,,,,,,,,,your own trade — from the exchange's record; direction from the position move,CCTX896B2T6S
1788953858.1,cfb,aachc-cfb-wins-2026-11-28-flst-5pt5wins,SELL,1,0.3,hand,,0,,,,,,,,,your own trade — from the exchange's record; direction from the position move,CCTZ0MQFRSJ1
1788953956.2,cfb,aachc-cfb-wins-2026-11-28-hou-6pt5wins,BUY,1,0.97,sell,0,0.08,,73,81,0.001,0.73,0.98,0.2,0,buying back the short at or under what it sold for — the bid earns while it wait,CCTXYHX4ESJH
1788953956.2,cfb,aachc-cfb-wins-2026-11-28-hou-6pt5wins,BUY,1,0.97,sell,0,0.04,,73,81,0.001,0.73,0.98,0.2,1,buying back the short at or under what it sold for — the bid earns while it wait,CCTY34DGMT75
1788953967.6,cfb,aachc-cfb-wins-2026-11-28-ore-10pt5wins,BUY,0.99,0.63,backfill,,0,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCV0EZ3N8SX4
1788954113.4,cfb,aachc-cfb-wins-2026-11-28-flst-5pt5wins,SELL,1,0.3,sell,0,0.04,,49,54,0.427,0.29,0.5,0.21,0,selling filled stock — it earns while it waits,CCV0EZ45RSX4
1788954446.9,cfb,aachc-cfb-wins-2026-11-28-tx-10pt5wins,SELL,1,0.03,sell,7.5,0.14,,35,40,0.396,0.16,0.2,0.34,0,selling filled stock — it earns while it waits,CCV0GSKKPSJZ
1788954730.2,cfb,aachc-cfb-wins-2026-11-28-wisc-5pt5wins,BUY,2,0.68,hand,,0,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,CCV823BGCT6S
1788955045.0,cfb,aachc-cfb-wins-2026-11-28-pennst-11pt5wins,SELL,1,0.02,sell,7.5,0.34,,5,14,0.412,0.01,0.27,0.07,0,selling filled stock — it earns while it waits,CCTYYEW5RSJR
1788955077.9,cfb,aachc-cfb-wins-2026-11-28-syra-3pt5wins,BUY,1,0.97,hand,,0,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,CCVA6HS8YSJH
1788955174.4,cfb,aachc-cfb-wins-2026-11-28-syra-3pt5wins,BUY,1,0.97,hand,,0,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,CCVAH21Q0SJZ
